效果名	材质数	原 shader 列表	是否含未映射 shader	状态
Lasrifle_auto	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_auto OLD	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Lasrifle_basic	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_basic OLD	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Lasrifle_hellpistol	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Lasrifle_Hotshot_2shots	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_Hotshot_3shots	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_Hotshot_auto_burst	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_Hotshot_basic	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_Hotshot_pistol	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_laspistol	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_laspistol OLD	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Lasrifle_laspistol_quick	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_laspistol_Ursula_AA	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_offscreen	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_offscreen_1x	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_offscreen_5x	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lightning burst webway	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lightning_Green	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
LongRange_GainTrait	6	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit	否	OK
LongRange_LoseTrait	4	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit	否	OK
MarkerlightExpire	6	Everguild/FX/Extra Color, Everguild/FX/MarkerLight, Everguild/FX/Unlit UV scroll, Universal Render Pipeline/Particles/Unlit	是	OK
MarkerlightIdle	8	Everguild/FX/Extra Color, Everguild/FX/MarkerLight, Everguild/FX/Unlit UV scroll, TextMeshPro/Distance Field, Universal Render Pipeline/Particles/Unlit	是	OK
MarkerlightProcEffect	15	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
MarkerlightSource	9	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
MarkerlightTriggerDamage	14	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
MarkOfKhorne_enchantment	2	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
MarkOfNurgle_enchantment	4	Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
MarkOfSlaanesh_enchantment	3	Universal Render Pipeline/Particles/Unlit	否	OK
MarkOfTzeentch_enchantment	4	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
MasterOfExecutions	5	Legacy Shaders/Particles/Alpha Blended, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Simple Lit, Universal Render Pipeline/Particles/Unlit	否	OK
MegaBlasta	17	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
MegaBlasta_Small	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Particle Premultiply Greyscale Coloring, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Meteor Angled	5	Universal Render Pipeline/Particles/Unlit	否	OK
Mining_Laser	11	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
MobEffect	8	Everguild/FX/Particle Shine Custom Vertex Streams, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
MoreDakkaEffect	5	Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Necron_Regenerate	4	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
NecronGauss	12	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
NecronGauss_Damaged Hexmark	9	Everguild/FX/Extra Color, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
NecronGauss_Deathmark	11	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
NecronGauss_Double	12	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
NecronGauss_Hexmark	9	Everguild/FX/Extra Color, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
NecronGauss_Imotekh_AA	15	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
NecronGauss_Large	12	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
NecronGauss_Tesla	8	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
NecronGauss_Tesla_Annihilation Barge	9	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
NecronGauss_Trilinked	12	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
NecronGauss_Twinlinked	12	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Necrons death explosion	9	Everguild/Cards/3D Card Explosion, Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Universal Render Pipeline/Particles/Unlit	是	OK
NephilimShadow_Flyover	1	Universal Render Pipeline/Particles/Unlit	否	OK
Njal Blizzard Attack	15	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
NoMukkinAboutEffect	14	Everguild/FX/Burning, Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Legacy Shaders/Particles/Additive, Legacy Shaders/Particles/Alpha Blended, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Oath_Effect	8	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, UI/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Offensive_Sweeping_Infestation_Target	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Offensive_Thunderstorm Target	10	Everguild/FX/Extra Color, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Orbital 3 repeat	10	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Universal Render Pipeline/Particles/Unlit	是	OK
Orbital 4 repeat	10	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Universal Render Pipeline/Particles/Unlit	是	OK
Orbital 5 repeat	10	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Universal Render Pipeline/Particles/Unlit	是	OK
Orbital Bombardment Enemy Warlord	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	是	OK
Orbital Bombardment Target	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	是	OK
Ork Environmental Condition Dust	2	Universal Render Pipeline/Particles/Unlit	否	OK
Ork Environmental Condition Spore Clouds	9	Universal Render Pipeline/Particles/Unlit	否	OK
Ork_Rocket	4	Everguild/FX/Extra Color, Legacy Shaders/Particles/Alpha Blended Premultiply, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Ork_RocketDown	10	Everguild/FX/Extra Color, Legacy Shaders/Particles/Alpha Blended Premultiply, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Ork_RocketUp	6	Everguild/FX/Extra Color, Legacy Shaders/Particles/Alpha Blended Premultiply, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Ork_Squiggoth_Charge	6	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Ork_StormboyzStrike	10	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
Ork_Target	7	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Ork_Trampla_Charge	6	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
OrkBuff_KrumpDaGitz	12	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
OrkBuff_Recall	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
OrkBuff_Snakebitez_1	9	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
OrkBuff_Snakebitez_1_2D_SFX	9	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
OrkBuff_Snakebitez_1_NoIcon	8	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
OrkBuff_Snakebitez_1_Quick	8	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
OrkBuff_Snakebitez_2	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
OrkBuff_Snakebitez_2_Intense	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
OrkBuffGreenWaaagh	9	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Pack_WhileInPlay	5	Universal Render Pipeline/Particles/Unlit	否	OK
PathOfCommand_buff	8	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Everguild/FX/Unlit UV scroll, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
PathOfTheSeer	6	Universal Render Pipeline/Particles/Unlit	否	OK
PathOfTheSeer_BG-effect	6	Universal Render Pipeline/Particles/Unlit	否	OK
PathOfTheSeerGreen	6	Universal Render Pipeline/Particles/Unlit	否	OK
PathOfTheSeerRed	6	Universal Render Pipeline/Particles/Unlit	否	OK
PathOfTheWarrior_Projectile	9	Everguild/FX/Particle Shine Custom Vertex Streams, Particles/Standard Unlit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
PenitenceEffect	8	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Everguild/FX/Particle Premultiply Greyscale Coloring, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
PinDownEffect	5	Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Plasma_basic OLD	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit	否	OK
Plasma_basic_blue	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasma_basic_blue_double	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasma_basic_blue_triple	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasma_basic_blue_twinlink	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasma_basic_burst_turqoise	17	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasma_basic_pink	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasma_basic_pink OLD	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit	否	OK
Plasma_basic_red	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasma_basic_turqoise	17	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasma_basic_yellow	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasma_blue_pointblank	10	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit	否	OK
Plasma_blue_pointblank_double	10	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit	否	OK
Plasma_triple_Azrael_AA	15	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Plasmancer_Damage	5	Everguild/FX/Extra Color, Everguild/FX/TrailShader_1, Universal Render Pipeline/Particles/Unlit	否	OK
Possession_self	8	Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Pray_Exit	8	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Pray_Idle	5	Everguild/FX/Extra Color, Everguild/FX/Specific/Pray Glow, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Pray_Start	9	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Pray_Success	13	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Protocol Base	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Psychic_Lightning	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_blast	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_blast_chaos	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_chaos	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_down	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_down_Intense_white	11	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_down_Waaagh_Green	12	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_Genestealer	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_Genestealer_Benefictus	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_NornEmissary	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_Purple	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_Red	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_Swarmlord	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_Tyranid	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_Waaagh	13	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_Waaagh_Board	12	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_warlord_chaos	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_warlord_OLD	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychic_Lightning_white	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Psychomancer_Stun	6	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Everguild/FX/TrailShader_1, Universal Render Pipeline/Particles/Unlit	否	OK
Pulse Onslaught	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Quest UI Gain	6	Universal Render Pipeline/Particles/Unlit	否	OK
Quest UI Trigger	6	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Universal Render Pipeline/Particles/Unlit	否	OK
Railgun turret	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, WarpforgeVFX/Particles/Extra Color	否	OK
RallyEffect	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Rapacious_Hunger	7	Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Unlit UV scroll, Universal Render Pipeline/Particles/Unlit	否	OK
Rapturous Ruination Board	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Recall_Eldar	7	Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Recall_Eldar_2	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Recall_Eldar_2_quick	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Recall_Eldar_2_quick_ground	9	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Recall_Eldar_2_quick_ground_warlord	9	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Recall_Eldar_2_quick_UI	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Recall_Eldar_2_reverse	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Recall_Generic	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Recon Enemy Hand	5	Everguild/FX/Alpha Mask One Layer, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Recon Enemy Hand Purple	6	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Recon Hit	8	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Recon Hit Purple	8	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Recon Scan	9	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Recon Scan 2	6	Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Recon Scan Purple	8	Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
RegimentEffect	6	Everguild/FX/FX Shine For Animation, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	是	OK
Relentless Fusillade	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Relentless Fusillade sniper	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
RelentlessEffect	5	Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
